"MK496513"	"Phytophthora"	"× alni"
"KU899179"	"Phytophthora"	"× cambivora"
"KU517151 "	"Phytophthora"	"× incrassata"
"MG783372"	"Phytophthora"	"× multiformis"
"HQ643408.2"	"Pythium"	"abappressorium"
"MK163944.1"	"Phytophthora"	"abietivora"
"KX396303.1"	"Phytophthora"	"acaciae"
"KX011263.1"	"Phytophthora"	"acaciivora"
"HQ643409.1"	"Pythium"	"acanthicum"
"HQ643413.1"	"Pythium"	"acanthophoron"
"MG518642.1"	"Phytophthora"	"acerina"
"HQ643414.1"	"Pythium"	"acrogynum"
"HQ643415.1"	"Pythium"	"adhaerens"
"HQ643416.1"	"Pythium"	"afertile"
"MT762306.1"	"Phytophthora"	"afrocarpa"
"MG602692.1"	"Phytophthora"	"agathidicida"
"MK282209.1"	"Phytophthora"	"aleatoria"
"MT707332.1"	"Phytophthora"	"alpina"
"KX247599.1"	"Phytophthora"	"alticola"
"MG783373.1"	"Phytophthora"	"amaranthi"
"HQ643434.1"	"Pythium"	"amasculinum"
"HQ643084.1"	"Achlya"	"americana"
"JQ029956.1"	"Phytophthora"	"amnicola"
"HQ643435.1"	"Pythium"	"anandrum"
"MK496515.1"	"Phytophthora"	"andina"
"HM004511.1"	"Plasmoverna"	"anemones-ranunculoides"
"HQ643437.1"	"Pythium"	"angustatum"
"HQ643974.1"	"Saprolegnia"	"anisospora"
"AY198300.3"	"Peronospora"	"aparines"
"HQ643438.1"	"Pythium"	"aphanidermatum"
"HQ643443.2"	"Pythium"	"apiculatum"
"HQ643444.1"	"Pythium"	"apleroticum"
"MT210484.1"	"Phytophthora"	"aquae-cooljarloo"
"HQ643085.1"	"Achlya"	"aquatica"
"HQ643445.1"	"Pythium"	"aquatile"
"MG783376.1"	"Phytophthora"	"aquimorbida"
"HQ013219.1"	"Phytophthora"	"arenaria"
"HQ643447.1"	"Pythium"	"aristosporum"
"HQ643452.1"	"Pythium"	"arrhenomanes"
"MG783378.1"	"Phytophthora"	"asiatica"
"LC595781.1"	"Phytophthora"	"asparagi"
"HQ643975.1"	"Saprolegnia"	"asterophora"
