"","X1","X2","value"
"2","S_eccentrica","S_turfosa",1
"3","S_sp._CAL-2011b","S_turfosa",1
"4","B_macrospora","S_turfosa",0
"5","A_papillosa","S_turfosa",1
"6","G_attrantheridium_complex","S_turfosa",0
"7","G_emineosum","S_turfosa",0
"8","S_megasperma","S_turfosa",1
"9","Pe_conglomerata","S_turfosa",1
"10","Ph_cactorum_cluster","S_turfosa",0
"11","G_lucens","S_turfosa",0
"12","N_spinosa","S_turfosa",0
"13","S_asterophora","S_turfosa",0
"14","S_litoralis","S_turfosa",1
"15","A_candida","S_turfosa",0
"16","A_ brachynema","S_turfosa",0
"17","G_irregulare_complex","S_turfosa",-1
"18","G_ornacarpum","S_turfosa",0
"19","Pe_calotheca","S_turfosa",0
"20","Ph_cichorii","S_turfosa",0
"21","Ph_personensis_cluster","S_turfosa",0
"22","P_insidiosum","S_turfosa",0
"23","A_cladogamus","S_turfosa",-1
"24","G_debaryanum","S_turfosa",0
"25","G_longisporangium","S_turfosa",0
"26","G_violae","S_turfosa",0
"27","Ph_drechsleri","S_turfosa",0
"28","P_lycopersicum","S_turfosa",0
"29","P_pyrilobum","S_turfosa",0
"30","S_terrestris","S_turfosa",0
"31","B_entospora","S_turfosa",0
"32","Ph_tentaculata","S_turfosa",0
"33","A_cochlioides","S_turfosa",0
"34","G_intermedium","S_turfosa",0
"35","P_aquatile_complex","S_turfosa",0
"36","P_deliense","S_turfosa",0
"37","E_undulatum_complex","S_turfosa",1
"38","G_aff._iwayamae","S_turfosa",1
"39","Pl_euphrasiae","S_turfosa",-1
"40","Ph_nemorosa_cluster","S_turfosa",0
"41","P_jasmonium","S_turfosa",0
"42","S_monilifera","S_turfosa",1
"43","A_euteiches","S_turfosa",0
"44","G_marsipium","S_turfosa",0
"45","Pc_myriandra","S_turfosa",0
"46","G_rostratum","S_turfosa",0
"47","L_sp._CAL-2011b","S_turfosa",0
"48","G_uncinulatum","S_turfosa",-1
"49","Pe_radii","S_turfosa",0
"50","Pp_litorale","S_turfosa",0
"51","Ph_transitoria","S_turfosa",0
"52","G_heterothallicum_complex","S_turfosa",-1
"53","H_nesliae","S_turfosa",0
"54","A_flagellata","S_turfosa",0
"55","Ph_megasperma_cluster","S_turfosa",0
"56","P_angustatum","S_turfosa",-1
"57","P_contiguanum","S_turfosa",0
"58","N_oligocantha","S_turfosa",0
"59","Ph_parvispora","S_turfosa",0
"60","P_grandisporangium","S_turfosa",0
"61","P_folliculosum","S_turfosa",-1
"62","A_sparrowii","S_turfosa",0
"63","P_sp._CAL-2011e","S_turfosa",0
"64","P_minus_complex","S_turfosa",-1
"65","S_subterranea","S_turfosa",0
"66","Ph_cryptogea_cluster","S_turfosa",0
"67","P_arrhenomanes_complex","S_turfosa",-1
"68","A_ minima","S_turfosa",0
"69","G_macrosporum","S_turfosa",-1
"70","G_paddicum","S_turfosa",0
"71","Ph_aff._sansomeana","S_turfosa",0
"72","Ph_niederhauserii_cluster","S_turfosa",-1
"73","P_vanterpoolii","S_turfosa",-1
"74","E_anandrum","S_turfosa",0
"75","L_caudata","S_turfosa",0
"76","P_inflatum","S_turfosa",0
"77","P_kashmirense","S_turfosa",-1
"78","P_dissimile","S_turfosa",0
"79","Pp_sp._CAL-2011b","S_turfosa",0
"80","Ph_europaea_cluster","S_turfosa",1
"81","P_sulcatum","S_turfosa",-1
"82","Pp_chamaehyphon","S_turfosa",0
"83","P_tardicrescens","S_turfosa",-1
"84","Py_terrestris","S_turfosa",0
"85","P_salpingophorum_complex","S_turfosa",-1
"86","L_giganteum","S_turfosa",-1
"87","P_chondricola","S_turfosa",0
"88","P_longandrum","S_turfosa",-1
"89","P_flevoense","S_turfosa",0
"90","P_pectinolyticum","S_turfosa",-1
"91","P_terrestris","S_turfosa",-1
"92","S_anisospora","S_turfosa",0
"93","G_megalacanthum_complex","S_turfosa",0
"94","P_myriotylum_complex","S_turfosa",-1
"95","P_ornamentatum","S_turfosa",-1
"96","G_rostratifingens","S_turfosa",-1
"97","G_parvum","S_turfosa",-1
"98","P_periplocum","S_turfosa",-1
"99","A_caroliniana","S_turfosa",0
"100","G_okanoganense","S_turfosa",-1
"101","P_aff._torulosum","S_turfosa",-1
"102","G_perplexum","S_turfosa",-1
"103","P_pachycaule_complex","S_turfosa",-1
"104","P_dissotocum_complex","S_turfosa",-1
"105","T_terrestris","S_turfosa",-1
"106","P_aff._volutum","S_turfosa",-1
"109","S_sp._CAL-2011b","S_eccentrica",0
"110","B_macrospora","S_eccentrica",0
"111","A_papillosa","S_eccentrica",0
"112","G_attrantheridium_complex","S_eccentrica",0
"113","G_emineosum","S_eccentrica",0
"114","S_megasperma","S_eccentrica",1
"115","Pe_conglomerata","S_eccentrica",0
"116","Ph_cactorum_cluster","S_eccentrica",1
"117","G_lucens","S_eccentrica",0
"118","N_spinosa","S_eccentrica",0
"119","S_asterophora","S_eccentrica",0
"120","S_litoralis","S_eccentrica",0
"121","A_candida","S_eccentrica",0
"122","A_ brachynema","S_eccentrica",0
"123","G_irregulare_complex","S_eccentrica",-1
"124","G_ornacarpum","S_eccentrica",0
"125","Pe_calotheca","S_eccentrica",0
"126","Ph_cichorii","S_eccentrica",0
"127","Ph_personensis_cluster","S_eccentrica",0
"128","P_insidiosum","S_eccentrica",0
"129","A_cladogamus","S_eccentrica",0
"130","G_debaryanum","S_eccentrica",0
"131","G_longisporangium","S_eccentrica",0
"132","G_violae","S_eccentrica",0
"133","Ph_drechsleri","S_eccentrica",0
"134","P_lycopersicum","S_eccentrica",0
"135","P_pyrilobum","S_eccentrica",0
"136","S_terrestris","S_eccentrica",0
"137","B_entospora","S_eccentrica",0
"138","Ph_tentaculata","S_eccentrica",0
"139","A_cochlioides","S_eccentrica",0
"140","G_intermedium","S_eccentrica",0
"141","P_aquatile_complex","S_eccentrica",0
"142","P_deliense","S_eccentrica",0
"143","E_undulatum_complex","S_eccentrica",0
"144","G_aff._iwayamae","S_eccentrica",1
"145","Pl_euphrasiae","S_eccentrica",-1
"146","Ph_nemorosa_cluster","S_eccentrica",0
"147","P_jasmonium","S_eccentrica",0
"148","S_monilifera","S_eccentrica",0
"149","A_euteiches","S_eccentrica",0
"150","G_marsipium","S_eccentrica",0
"151","Pc_myriandra","S_eccentrica",0
"152","G_rostratum","S_eccentrica",0
"153","L_sp._CAL-2011b","S_eccentrica",0
"154","G_uncinulatum","S_eccentrica",0
"155","Pe_radii","S_eccentrica",0
"156","Pp_litorale","S_eccentrica",0
"157","Ph_transitoria","S_eccentrica",0
"158","G_heterothallicum_complex","S_eccentrica",-1
"159","H_nesliae","S_eccentrica",0
"160","A_flagellata","S_eccentrica",0
"161","Ph_megasperma_cluster","S_eccentrica",0
"162","P_angustatum","S_eccentrica",0
"163","P_contiguanum","S_eccentrica",0
"164","N_oligocantha","S_eccentrica",0
"165","Ph_parvispora","S_eccentrica",0
"166","P_grandisporangium","S_eccentrica",0
"167","P_folliculosum","S_eccentrica",-1
"168","A_sparrowii","S_eccentrica",0
"169","P_sp._CAL-2011e","S_eccentrica",0
"170","P_minus_complex","S_eccentrica",-1
"171","S_subterranea","S_eccentrica",0
"172","Ph_cryptogea_cluster","S_eccentrica",0
"173","P_arrhenomanes_complex","S_eccentrica",0
"174","A_ minima","S_eccentrica",0
"175","G_macrosporum","S_eccentrica",-1
"176","G_paddicum","S_eccentrica",0
"177","Ph_aff._sansomeana","S_eccentrica",0
"178","Ph_niederhauserii_cluster","S_eccentrica",0
"179","P_vanterpoolii","S_eccentrica",0
"180","E_anandrum","S_eccentrica",0
"181","L_caudata","S_eccentrica",0
"182","P_inflatum","S_eccentrica",0
"183","P_kashmirense","S_eccentrica",-1
"184","P_dissimile","S_eccentrica",0
"185","Pp_sp._CAL-2011b","S_eccentrica",0
"186","Ph_europaea_cluster","S_eccentrica",0
"187","P_sulcatum","S_eccentrica",-1
"188","Pp_chamaehyphon","S_eccentrica",0
"189","P_tardicrescens","S_eccentrica",0
"190","Py_terrestris","S_eccentrica",0
"191","P_salpingophorum_complex","S_eccentrica",-1
"192","L_giganteum","S_eccentrica",0
"193","P_chondricola","S_eccentrica",-1
"194","P_longandrum","S_eccentrica",0
"195","P_flevoense","S_eccentrica",0
"196","P_pectinolyticum","S_eccentrica",-1
"197","P_terrestris","S_eccentrica",0
"198","S_anisospora","S_eccentrica",0
"199","G_megalacanthum_complex","S_eccentrica",0
"200","P_myriotylum_complex","S_eccentrica",-1
"201","P_ornamentatum","S_eccentrica",-1
"202","G_rostratifingens","S_eccentrica",-1
"203","G_parvum","S_eccentrica",-1
"204","P_periplocum","S_eccentrica",0
"205","A_caroliniana","S_eccentrica",0
"206","G_okanoganense","S_eccentrica",-1
"207","P_aff._torulosum","S_eccentrica",0
"208","G_perplexum","S_eccentrica",0
"209","P_pachycaule_complex","S_eccentrica",-1
"210","P_dissotocum_complex","S_eccentrica",-1
"211","T_terrestris","S_eccentrica",-1
"212","P_aff._volutum","S_eccentrica",-1
"216","B_macrospora","S_sp._CAL-2011b",0
"217","A_papillosa","S_sp._CAL-2011b",0
"218","G_attrantheridium_complex","S_sp._CAL-2011b",0
"219","G_emineosum","S_sp._CAL-2011b",0
"220","S_megasperma","S_sp._CAL-2011b",0
"221","Pe_conglomerata","S_sp._CAL-2011b",0
"222","Ph_cactorum_cluster","S_sp._CAL-2011b",0
"223","G_lucens","S_sp._CAL-2011b",0
"224","N_spinosa","S_sp._CAL-2011b",0
"225","S_asterophora","S_sp._CAL-2011b",0
"226","S_litoralis","S_sp._CAL-2011b",0
"227","A_candida","S_sp._CAL-2011b",0
"228","A_ brachynema","S_sp._CAL-2011b",0
"229","G_irregulare_complex","S_sp._CAL-2011b",0
"230","G_ornacarpum","S_sp._CAL-2011b",0
"231","Pe_calotheca","S_sp._CAL-2011b",0
"232","Ph_cichorii","S_sp._CAL-2011b",0
"233","Ph_personensis_cluster","S_sp._CAL-2011b",0
"234","P_insidiosum","S_sp._CAL-2011b",0
"235","A_cladogamus","S_sp._CAL-2011b",0
"236","G_debaryanum","S_sp._CAL-2011b",0
"237","G_longisporangium","S_sp._CAL-2011b",0
"238","G_violae","S_sp._CAL-2011b",0
"239","Ph_drechsleri","S_sp._CAL-2011b",0
"240","P_lycopersicum","S_sp._CAL-2011b",0
"241","P_pyrilobum","S_sp._CAL-2011b",0
"242","S_terrestris","S_sp._CAL-2011b",0
"243","B_entospora","S_sp._CAL-2011b",0
"244","Ph_tentaculata","S_sp._CAL-2011b",0
"245","A_cochlioides","S_sp._CAL-2011b",0
"246","G_intermedium","S_sp._CAL-2011b",0
"247","P_aquatile_complex","S_sp._CAL-2011b",0
"248","P_deliense","S_sp._CAL-2011b",0
"249","E_undulatum_complex","S_sp._CAL-2011b",0
"250","G_aff._iwayamae","S_sp._CAL-2011b",0
"251","Pl_euphrasiae","S_sp._CAL-2011b",0
"252","Ph_nemorosa_cluster","S_sp._CAL-2011b",0
"253","P_jasmonium","S_sp._CAL-2011b",0
"254","S_monilifera","S_sp._CAL-2011b",0
"255","A_euteiches","S_sp._CAL-2011b",0
"256","G_marsipium","S_sp._CAL-2011b",0
"257","Pc_myriandra","S_sp._CAL-2011b",0
"258","G_rostratum","S_sp._CAL-2011b",0
"259","L_sp._CAL-2011b","S_sp._CAL-2011b",0
"260","G_uncinulatum","S_sp._CAL-2011b",0
"261","Pe_radii","S_sp._CAL-2011b",0
"262","Pp_litorale","S_sp._CAL-2011b",0
"263","Ph_transitoria","S_sp._CAL-2011b",0
"264","G_heterothallicum_complex","S_sp._CAL-2011b",-1
"265","H_nesliae","S_sp._CAL-2011b",0
"266","A_flagellata","S_sp._CAL-2011b",0
"267","Ph_megasperma_cluster","S_sp._CAL-2011b",0
"268","P_angustatum","S_sp._CAL-2011b",0
"269","P_contiguanum","S_sp._CAL-2011b",0
"270","N_oligocantha","S_sp._CAL-2011b",0
"271","Ph_parvispora","S_sp._CAL-2011b",0
"272","P_grandisporangium","S_sp._CAL-2011b",0
"273","P_folliculosum","S_sp._CAL-2011b",0
"274","A_sparrowii","S_sp._CAL-2011b",0
"275","P_sp._CAL-2011e","S_sp._CAL-2011b",0
"276","P_minus_complex","S_sp._CAL-2011b",0
"277","S_subterranea","S_sp._CAL-2011b",0
"278","Ph_cryptogea_cluster","S_sp._CAL-2011b",0
"279","P_arrhenomanes_complex","S_sp._CAL-2011b",-1
"280","A_ minima","S_sp._CAL-2011b",0
"281","G_macrosporum","S_sp._CAL-2011b",-1
"282","G_paddicum","S_sp._CAL-2011b",0
"283","Ph_aff._sansomeana","S_sp._CAL-2011b",0
"284","Ph_niederhauserii_cluster","S_sp._CAL-2011b",0
"285","P_vanterpoolii","S_sp._CAL-2011b",0
"286","E_anandrum","S_sp._CAL-2011b",0
"287","L_caudata","S_sp._CAL-2011b",0
"288","P_inflatum","S_sp._CAL-2011b",0
"289","P_kashmirense","S_sp._CAL-2011b",0
"290","P_dissimile","S_sp._CAL-2011b",0
"291","Pp_sp._CAL-2011b","S_sp._CAL-2011b",-1
"292","Ph_europaea_cluster","S_sp._CAL-2011b",0
"293","P_sulcatum","S_sp._CAL-2011b",0
"294","Pp_chamaehyphon","S_sp._CAL-2011b",0
