"","sppname","variable","value"
"1","G_rhizosaccharum","pos",0
"2","H_sisymbrii-sophiae","pos",0
"3","Pe_aparines","pos",0
"4","Ph_citricola_complex","pos",0
"5","Ph_litoralis","pos",0
"6","Ph_porri","pos",0
"7","Ph_sp._CAL-2011b","pos",0
"8","Ph_syringae","pos",0
"9","Pp_citrinum","pos",0
"10","Pp_oedochilum","pos",0
"11","P_hydnosporum","pos",0
"12","P_sp._CAL-2011f","pos",0
"13","S_monoica","pos",0
"14","G_attrantheridium_complex","pos",0
"15","A_ brachynema","pos",2.12765957446809
"16","P_insidiosum","pos",2.5
"17","Ph_cichorii","pos",3.125
"18","S_asterophora","pos",1.81818181818182
"19","A_candida","pos",4.54545454545455
"20","Pe_calotheca","pos",4.54545454545455
"21","G_ornacarpum","pos",5.88235294117647
"22","Ph_personensis_cluster","pos",5.88235294117647
"23","S_terrestris","pos",4.83870967741935
"24","P_lycopersicum","pos",7.69230769230769
"25","P_pyrilobum","pos",7.69230769230769
"26","G_intermedium","pos",7.84313725490196
"27","S_megasperma","pos",3.38983050847458
"28","G_debaryanum","pos",6.81818181818182
"29","G_longisporangium","pos",9.09090909090909
"30","G_violae","pos",9.09090909090909
"31","Ph_drechsleri","pos",9.09090909090909
"32","N_spinosa","pos",5.08474576271187
"33","A_cochlioides","pos",9.61538461538462
"34","G_emineosum","pos",0
"35","Ph_nemorosa_cluster","pos",9.78260869565217
"36","G_lucens","pos",6.25
"37","P_deliense","pos",12.5
"38","Ph_cactorum_cluster","pos",6.02409638554217
"39","B_entospora","pos",13.6363636363636
"40","A_cladogamus","pos",8.21917808219178
"41","S_monilifera","pos",10.9090909090909
"42","P_jasmonium","pos",14.0625
"43","Pc_myriandra","pos",16.0714285714286
"44","Pl_euphrasiae","pos",13.5593220338983
"45","G_marsipium","pos",16.9811320754717
"46","A_euteiches","pos",17.3076923076923
"47","Ph_tentaculata","pos",17.6470588235294
"48","B_macrospora","pos",3.33333333333333
"49","Pe_conglomerata","pos",7.69230769230769
"50","L_sp._CAL-2011b","pos",18.6440677966102
"51","P_aquatile_complex","pos",15.9090909090909
"52","A_flagellata","pos",20.4819277108434
"53","G_rostratum","pos",21.2765957446809
"54","P_angustatum","pos",20.6521739130435
"55","S_litoralis","pos",10.958904109589
"56","E_undulatum_complex","pos",14.4444444444444
"57","H_nesliae","pos",25.8064516129032
"58","G_aff._iwayamae","pos",16.304347826087
"59","S_eccentrica","pos",4.34782608695652
"60","G_uncinulatum","pos",21.1111111111111
"61","Pe_radii","pos",26.9230769230769
"62","Pp_litorale","pos",26.9230769230769
"63","S_sp._CAL-2011b","pos",1.92307692307692
"64","P_arrhenomanes_complex","pos",26.2135922330097
"65","N_oligocantha","pos",28.5714285714286
"66","A_papillosa","pos",13.4615384615385
"67","A_sparrowii","pos",31.3432835820896
"68","P_minus_complex","pos",26.3636363636364
"69","P_folliculosum","pos",27.5862068965517
"70","G_irregulare_complex","pos",16.6666666666667
"71","Ph_megasperma_cluster","pos",30.6451612903226
"72","G_paddicum","pos",32.5301204819277
"73","P_contiguanum","pos",32.7272727272727
"74","P_dissimile","pos",30
"75","P_grandisporangium","pos",33.9285714285714
"76","Ph_niederhauserii_cluster","pos",32.2222222222222
"77","E_anandrum","pos",33.3333333333333
"78","G_heterothallicum_complex","pos",24.5454545454545
"79","Ph_parvispora","pos",34.5454545454545
"80","L_caudata","pos",34.4827586206897
"81","Ph_cryptogea_cluster","pos",35.8208955223881
"82","A_ minima","pos",31.0679611650485
"83","Ph_europaea_cluster","pos",35.4166666666667
"84","G_macrosporum","pos",30.9090909090909
"85","Ph_transitoria","pos",37.5
"86","S_anisospora","pos",36.8932038834951
"87","P_sp._CAL-2011e","pos",36.6666666666667
"88","P_kashmirense","pos",35.5555555555556
"89","Py_terrestris","pos",39.1304347826087
"90","P_sulcatum","pos",38.0434782608696
"91","Pp_sp._CAL-2011b","pos",36.4583333333333
"92","P_salpingophorum_complex","pos",35.5932203389831
