"","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name"
"1",1,3,26,34,4,0.009,2.8,0.86805,0.3013,"A_caroliniana","A_flagellata"
"2",1,7,26,20,6,0.005,1.6,0.99958,0.00303,"A_caroliniana","A_sparrowii"
"3",1,9,26,23,1,0.006,1.9,0.41584,0.87131,"A_caroliniana","A_cladogamus"
"4",1,13,26,82,11,0.021,6.7,0.9836,0.04406,"A_caroliniana","A_ minima"
"5",1,15,26,17,0,0.004,1.4,0.2232,1,"A_caroliniana","B_macrospora"
"6",1,17,26,42,12,0.011,3.5,1,2e-05,"A_caroliniana","E_anandrum"
"7",1,19,26,46,5,0.012,3.8,0.84154,0.32197,"A_caroliniana","E_undulatum_complex"
"8",1,20,26,62,3,0.016,5.1,0.20897,0.9179,"A_caroliniana","G_aff._iwayamae"
"9",1,21,26,315,26,0.082,25.9,1,0.91772,"A_caroliniana","G_attrantheridium_complex"
"10",1,26,26,117,7,0.03,9.6,0.18459,0.91007,"A_caroliniana","G_heterothallicum_complex"
"11",1,28,26,51,1,0.013,4.2,0.05441,0.99166,"A_caroliniana","G_irregulare_complex"
"12",1,31,26,152,11,0.04,12.5,0.34109,0.79402,"A_caroliniana","G_macrosporum"
"13",1,32,26,13,1,0.003,1.1,0.7094,0.67985,"A_caroliniana","G_marsipium"
"14",1,33,26,48,12,0.012,3.9,0.99999,8e-05,"A_caroliniana","G_megalacanthum_complex"
"15",1,36,26,67,14,0.017,5.5,0.99998,0.00013,"A_caroliniana","G_okanoganense"
"16",1,38,26,32,6,0.008,2.6,0.99079,0.03509,"A_caroliniana","G_paddicum"
"17",1,39,26,202,24,0.053,16.6,0.99992,0.00071,"A_caroliniana","G_parvum"
"18",1,40,26,39,13,0.01,3.2,1,0,"A_caroliniana","G_perplexum"
"19",1,42,26,114,17,0.03,9.4,0.99965,0.00149,"A_caroliniana","G_rostratifingens"
"20",1,44,26,48,4,0.012,3.9,0.642,0.57955,"A_caroliniana","G_uncinulatum"
"21",1,46,26,18,3,0.005,1.5,0.9502,0.17591,"A_caroliniana","H_nesliae"
"22",1,48,26,44,15,0.011,3.6,1,0,"A_caroliniana","L_giganteum"
"23",1,49,26,44,10,0.011,3.6,0.99982,0.00099,"A_caroliniana","L_caudata"
"24",1,50,26,16,7,0.004,1.3,0.99999,8e-05,"A_caroliniana","L_sp._CAL-2011b"
"25",1,51,26,22,5,0.006,1.8,0.99481,0.02527,"A_caroliniana","N_oligocantha"
"26",1,52,26,16,0,0.004,1.3,0.24438,1,"A_caroliniana","N_spinosa"
"27",1,57,26,13,7,0.003,1.1,1,1e-05,"A_caroliniana","Ph_aff._sansomeana"
"28",1,58,26,32,0,0.008,2.6,0.05508,1,"A_caroliniana","Ph_cactorum_cluster"
"29",1,62,26,21,10,0.005,1.7,1,0,"A_caroliniana","Ph_cryptogea_cluster"
"30",1,64,26,64,13,0.017,5.3,0.99993,0.00037,"A_caroliniana","Ph_europaea_cluster"
"31",1,66,26,18,3,0.005,1.5,0.9502,0.17591,"A_caroliniana","Ph_megasperma_cluster"
"32",1,67,26,57,5,0.015,4.7,0.6806,0.52077,"A_caroliniana","Ph_nemorosa_cluster"
"33",1,68,26,46,4,0.012,3.8,0.67803,0.54227,"A_caroliniana","Ph_niederhauserii_cluster"
"34",1,70,26,14,4,0.004,1.2,0.99693,0.02054,"A_caroliniana","Ph_parvispora"
"35",1,83,26,39,13,0.01,3.2,1,0,"A_caroliniana","Pp_chamaehyphon"
"36",1,88,26,76,14,0.02,6.3,0.99988,0.00059,"A_caroliniana","Pp_sp._CAL-2011b"
"37",1,89,26,16,2,0.004,1.3,0.8652,0.38594,"A_caroliniana","Pl_euphrasiae"
"38",1,91,26,15,2,0.004,1.2,0.88424,0.35455,"A_caroliniana","Pc_myriandra"
"39",1,92,26,58,12,0.015,4.8,0.99988,0.00061,"A_caroliniana","Py_terrestris"
"40",1,93,26,46,16,0.012,3.8,1,0,"A_caroliniana","P_aff._torulosum"
"41",1,94,26,108,19,0.028,8.9,1,3e-05,"A_caroliniana","P_aff._volutum"
"42",1,95,26,58,6,0.015,4.8,0.82211,0.33572,"A_caroliniana","P_angustatum"
"43",1,99,26,104,12,0.027,8.6,0.95441,0.10162,"A_caroliniana","P_arrhenomanes_complex"
"44",1,100,26,46,8,0.012,3.8,0.99383,0.02188,"A_caroliniana","P_chondricola"
"45",1,101,26,14,3,0.004,1.2,0.97946,0.0979,"A_caroliniana","P_contiguanum"
"46",1,103,26,120,17,0.031,9.9,0.99923,0.00296,"A_caroliniana","P_dissimile"
"47",1,104,26,145,23,0.038,11.9,1,0,"A_caroliniana","P_dissotocum_complex"
"48",1,105,26,32,8,0.008,2.6,0.99966,0.00196,"A_caroliniana","P_flevoense"
"49",1,106,26,42,7,0.011,3.5,0.98754,0.04122,"A_caroliniana","P_folliculosum"
"50",1,107,26,15,5,0.004,1.2,0.99948,0.00434,"A_caroliniana","P_grandisporangium"
"51",1,109,26,15,8,0.004,1.2,1,0,"A_caroliniana","P_inflatum"
"52",1,111,26,19,1,0.005,1.6,0.52384,0.81399,"A_caroliniana","P_jasmonium"
"53",1,112,26,49,7,0.013,4,0.96821,0.08684,"A_caroliniana","P_kashmirense"
"54",1,113,26,38,10,0.01,3.1,0.99996,0.00026,"A_caroliniana","P_longandrum"
